date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2026-03-13,M'gladbach,St Pauli,2,0,1.08,0.63
2026-03-14,Leverkusen,Bayern Munich,1,1,2.65,1.27
2026-03-14,Dortmund,Augsburg,2,0,2.49,0.76
2026-03-14,Ein Frankfurt,Heidenheim,1,0,0.73,0.14
2026-03-14,Hoffenheim,Wolfsburg,1,1,2.24,0.22
2026-03-14,Hamburg,FC Koln,1,1,0.56,0.98
2026-03-15,Werder Bremen,Mainz,0,2,0.89,2.06
2026-03-15,Freiburg,Union Berlin,0,1,1.35,1.0
2026-03-15,Stuttgart,RB Leipzig,1,0,1.93,1.12
2026-03-04,Hamburg,Leverkusen,0,1,1.29,2.68
2026-03-06,Bayern Munich,M'gladbach,4,1,3.12,1.22
2026-03-07,Freiburg,Leverkusen,3,3,2.58,2.19
2026-03-07,Heidenheim,Hoffenheim,2,4,0.97,2.79
2026-03-07,Mainz,Stuttgart,2,2,3.53,0.92
2026-03-07,RB Leipzig,Augsburg,2,1,2.19,3.67
2026-03-07,Wolfsburg,Hamburg,1,2,2.47,1.8
2026-03-07,FC Koln,Dortmund,1,2,0.96,1.96
2026-03-08,St Pauli,Ein Frankfurt,0,0,0.47,0.45
2026-03-08,Union Berlin,Werder Bremen,1,4,1.13,2.24
2026-02-27,Augsburg,FC Koln,2,0,1.56,0.49
2026-02-28,Leverkusen,Mainz,1,1,1.95,0.97
2026-02-28,M'gladbach,Union Berlin,1,0,2.56,0.14
2026-02-28,Hoffenheim,St Pauli,0,1,2.57,0.95
2026-02-28,Werder Bremen,Heidenheim,2,0,3.48,1.71
2026-02-28,Dortmund,Bayern Munich,2,3,1.4,1.89
2026-03-01,Stuttgart,Wolfsburg,4,0,2.95,0.87
2026-03-01,Ein Frankfurt,Freiburg,2,0,1.67,0.64
2026-03-01,Hamburg,RB Leipzig,1,2,0.82,2.29
2026-02-20,Mainz,Hamburg,1,1,1.75,0.82
2026-02-21,Bayern Munich,Ein Frankfurt,3,2,2.84,2.29
2026-02-21,FC Koln,Hoffenheim,2,2,1.12,1.82
2026-02-21,Union Berlin,Leverkusen,1,0,0.76,1.2
2026-02-21,Wolfsburg,Augsburg,2,3,2.18,1.56
2026-02-21,RB Leipzig,Dortmund,2,2,3.51,1.35
2026-02-22,Freiburg,M'gladbach,2,1,1.29,1.03
2026-02-22,St Pauli,Werder Bremen,2,1,0.26,1.61
2026-02-22,Heidenheim,Stuttgart,3,3,2.22,2.28
2026-02-13,Dortmund,Mainz,4,0,1.81,1.67
2026-02-14,Leverkusen,St Pauli,4,0,2.26,0.65
2026-02-14,Ein Frankfurt,M'gladbach,3,0,1.99,1.03
2026-02-14,Hamburg,Union Berlin,3,2,2.2,2.19
2026-02-14,Hoffenheim,Freiburg,3,0,1.9,0.74
2026-02-14,Werder Bremen,Bayern Munich,0,3,0.78,1.88
2026-02-14,Stuttgart,FC Koln,3,1,2.56,1.13
2026-02-15,Augsburg,Heidenheim,1,0,1.88,0.7
2026-02-15,RB Leipzig,Wolfsburg,2,2,2.51,0.69
2026-02-06,Union Berlin,Ein Frankfurt,1,1,1.27,0.3
2026-02-07,Freiburg,Werder Bremen,1,0,0.36,1.12
2026-02-07,Heidenheim,Hamburg,0,2,1.05,1.55
2026-02-07,Mainz,Augsburg,2,0,3.01,1.36
2026-02-07,St Pauli,Stuttgart,2,1,1.66,0.91
2026-02-07,Wolfsburg,Dortmund,1,2,2.03,1.71
2026-02-07,M'gladbach,Leverkusen,1,1,0.78,0.74
2026-02-08,FC Koln,RB Leipzig,1,2,1.12,3.06
2026-02-08,Bayern Munich,Hoffenheim,5,1,6.38,2.67
2026-01-27,St Pauli,RB Leipzig,1,1,1.33,2.06
2026-01-27,Werder Bremen,Hoffenheim,0,2,1.43,0.57
2026-01-30,FC Koln,Wolfsburg,1,0,1.44,1.35
2026-01-31,Augsburg,St Pauli,2,1,2.12,2.89
2026-01-31,Ein Frankfurt,Leverkusen,1,3,1.32,1.53
2026-01-31,Hoffenheim,Union Berlin,3,1,1.51,1.23
2026-01-31,RB Leipzig,Mainz,1,2,2.09,2.58
2026-01-31,Werder Bremen,M'gladbach,1,1,0.99,1.26
2026-01-31,Hamburg,Bayern Munich,2,2,2.64,2.29
2026-02-01,Stuttgart,Freiburg,1,0,2.95,0.94
2026-02-01,Dortmund,Heidenheim,3,2,4.14,3.04
2026-01-23,St Pauli,Hamburg,0,0,0.31,0.33
2026-01-24,Leverkusen,Werder Bremen,1,0,2.52,0.67
2026-01-24,Bayern Munich,Augsburg,1,2,2.31,1.25
2026-01-24,Ein Frankfurt,Hoffenheim,1,3,0.83,1.63
2026-01-24,Heidenheim,RB Leipzig,0,3,0.99,2.08
2026-01-24,Mainz,Wolfsburg,3,1,4.34,1.09
2026-01-24,Union Berlin,Dortmund,0,3,0.99,2.27
2026-01-25,M'gladbach,Stuttgart,0,3,1.22,2.73
2026-01-25,Freiburg,FC Koln,2,1,2.57,1.69
2026-01-13,Stuttgart,Ein Frankfurt,3,2,3.54,0.9
2026-01-13,Dortmund,Werder Bremen,3,0,2.32,0.4
2026-01-13,Mainz,Heidenheim,2,1,1.96,1.24
2026-01-14,Wolfsburg,St Pauli,2,1,1.78,1.21
2026-01-14,FC Koln,Bayern Munich,1,3,0.71,2.12
2026-01-14,Hoffenheim,M'gladbach,5,1,4.38,0.83
2026-01-14,RB Leipzig,Freiburg,2,0,2.8,0.15
2026-01-15,Augsburg,Union Berlin,1,1,0.56,1.74
2026-01-16,Werder Bremen,Ein Frankfurt,3,3,2.1,1.21
2026-01-17,Dortmund,St Pauli,3,2,2.55,0.53
2026-01-17,FC Koln,Mainz,2,1,2.41,1.91
2026-01-17,Hamburg,M'gladbach,0,0,1.26,0.58
2026-01-17,Hoffenheim,Leverkusen,1,0,2.12,1.27
2026-01-17,Wolfsburg,Heidenheim,1,1,1.08,0.99
2026-01-17,RB Leipzig,Bayern Munich,1,5,2.87,4.65
2026-01-18,Stuttgart,Union Berlin,1,1,2.2,1.89
2026-01-18,Augsburg,Freiburg,2,2,0.99,1.59
2026-01-09,Ein Frankfurt,Dortmund,3,3,1.66,2.3
2026-01-10,Freiburg,Hamburg,2,1,2.94,0.85
2026-01-10,Heidenheim,FC Koln,2,2,2.15,2.76
2026-01-10,Union Berlin,Mainz,2,2,3.65,1.56
2026-01-10,Leverkusen,Stuttgart,1,4,1.98,2.69
2026-01-11,M'gladbach,Augsburg,4,0,3.57,1.58
2026-01-11,Bayern Munich,Wolfsburg,8,1,3.55,1.09
2025-12-19,Dortmund,M'gladbach,2,0,1.65,0.22
2025-12-20,Augsburg,Werder Bremen,0,0,1.49,0.91
2025-12-20,FC Koln,Union Berlin,0,1,0.68,1.47
2025-12-20,Hamburg,Ein Frankfurt,1,1,1.1,1.09
2025-12-20,Stuttgart,Hoffenheim,0,0,1.46,0.15
