date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2025-12-20,Wolfsburg,Freiburg,3,4,1.31,2.66
2025-12-20,RB Leipzig,Leverkusen,1,3,1.94,2.7
2025-12-21,Mainz,St Pauli,0,0,1.87,0.23
2025-12-21,Heidenheim,Bayern Munich,0,4,1.49,3.37
2025-12-12,Union Berlin,RB Leipzig,3,1,1.48,0.5
2025-12-13,M'gladbach,Wolfsburg,1,3,0.62,2.72
2025-12-13,Ein Frankfurt,Augsburg,1,0,1.52,0.66
2025-12-13,Hoffenheim,Hamburg,4,1,2.49,1.41
2025-12-13,St Pauli,Heidenheim,2,1,1.0,1.89
2025-12-13,Leverkusen,FC Koln,2,0,2.29,0.44
2025-12-14,Freiburg,Dortmund,1,1,1.11,1.47
2025-12-14,Bayern Munich,Mainz,2,2,4.68,0.8
2025-12-14,Werder Bremen,Stuttgart,0,4,0.61,2.05
2025-12-05,Mainz,M'gladbach,0,1,1.09,1.9
2025-12-06,Stuttgart,Bayern Munich,0,5,0.73,4.08
2025-12-06,Wolfsburg,Union Berlin,3,1,0.93,2.02
2025-12-06,Augsburg,Leverkusen,2,0,2.14,1.42
2025-12-06,FC Koln,St Pauli,1,1,1.9,0.14
2025-12-06,Heidenheim,Freiburg,2,1,2.67,0.8
2025-12-06,RB Leipzig,Ein Frankfurt,6,0,3.64,0.47
2025-12-07,Hamburg,Werder Bremen,3,2,1.58,1.17
2025-12-07,Dortmund,Hoffenheim,2,0,1.1,1.42
2025-11-28,M'gladbach,RB Leipzig,0,0,0.39,1.09
2025-11-29,Bayern Munich,St Pauli,3,1,2.54,0.74
2025-11-29,Hoffenheim,Augsburg,3,0,1.8,0.66
2025-11-29,Union Berlin,Heidenheim,1,2,0.94,0.52
2025-11-29,Werder Bremen,FC Koln,1,1,1.54,1.18
2025-11-29,Leverkusen,Dortmund,1,2,1.08,1.16
2025-11-30,Hamburg,Stuttgart,2,1,1.21,1.11
2025-11-30,Ein Frankfurt,Wolfsburg,1,1,1.66,1.61
2025-11-30,Freiburg,Mainz,4,0,4.16,0.05
2025-11-21,Mainz,Hoffenheim,1,1,2.89,1.54
2025-11-22,Augsburg,Hamburg,1,0,1.62,1.55
2025-11-22,Bayern Munich,Freiburg,6,2,3.14,0.52
2025-11-22,Dortmund,Stuttgart,3,3,3.15,1.81
2025-11-22,Heidenheim,M'gladbach,0,3,0.36,2.8
2025-11-22,Wolfsburg,Leverkusen,1,3,2.08,1.59
2025-11-22,FC Koln,Ein Frankfurt,3,4,1.39,2.45
2025-11-23,RB Leipzig,Werder Bremen,2,0,2.43,0.77
2025-11-23,St Pauli,Union Berlin,0,1,0.57,0.4
2025-11-07,Werder Bremen,Wolfsburg,2,1,1.69,0.68
2025-11-08,Leverkusen,Heidenheim,6,0,3.9,0.06
2025-11-08,Hamburg,Dortmund,1,1,0.42,1.43
2025-11-08,Hoffenheim,RB Leipzig,3,1,1.92,1.56
2025-11-08,Union Berlin,Bayern Munich,2,2,1.03,1.34
2025-11-08,M'gladbach,FC Koln,3,1,2.46,2.16
2025-11-09,Freiburg,St Pauli,2,1,1.67,0.64
2025-11-09,Stuttgart,Augsburg,3,2,2.45,1.9
2025-11-09,Ein Frankfurt,Mainz,1,0,1.78,0.12
2025-10-31,Augsburg,Dortmund,0,1,0.97,0.59
2025-11-01,Heidenheim,Ein Frankfurt,1,1,0.83,1.22
2025-11-01,Mainz,Werder Bremen,1,1,1.9,0.88
2025-11-01,RB Leipzig,Stuttgart,3,1,1.73,1.07
2025-11-01,St Pauli,M'gladbach,0,4,0.8,3.63
2025-11-01,Union Berlin,Freiburg,0,0,1.35,1.17
2025-11-01,Bayern Munich,Leverkusen,3,0,2.28,0.38
2025-11-02,FC Koln,Hamburg,4,1,3.87,1.19
2025-11-02,Wolfsburg,Hoffenheim,2,3,1.4,1.74
2025-10-24,Werder Bremen,Union Berlin,1,0,1.14,0.49
2025-10-25,Augsburg,RB Leipzig,0,6,0.64,2.69
2025-10-25,M'gladbach,Bayern Munich,0,3,0.76,2.65
2025-10-25,Ein Frankfurt,St Pauli,2,0,2.43,0.52
2025-10-25,Hamburg,Wolfsburg,0,1,2.41,0.7
2025-10-25,Hoffenheim,Heidenheim,3,1,2.43,0.9
2025-10-25,Dortmund,FC Koln,1,0,2.09,0.71
2025-10-26,Leverkusen,Freiburg,2,0,2.47,0.54
2025-10-26,Stuttgart,Mainz,2,1,1.67,1.41
2025-10-17,Union Berlin,M'gladbach,3,1,1.53,0.63
2025-10-18,FC Koln,Augsburg,1,1,0.52,1.12
2025-10-18,Heidenheim,Werder Bremen,2,2,3.08,1.86
2025-10-18,Mainz,Leverkusen,3,4,1.63,4.43
2025-10-18,RB Leipzig,Hamburg,2,1,1.16,1.29
2025-10-18,Wolfsburg,Stuttgart,0,3,0.39,2.39
2025-10-18,Bayern Munich,Dortmund,2,1,2.82,1.41
2025-10-19,Freiburg,Ein Frankfurt,2,2,1.13,0.77
2025-10-19,St Pauli,Hoffenheim,0,3,0.87,1.79
2025-10-03,Hoffenheim,FC Koln,0,1,1.42,1.31
2025-10-04,Leverkusen,Union Berlin,2,0,3.36,1.2
2025-10-04,Dortmund,RB Leipzig,1,1,0.67,1.14
2025-10-04,Augsburg,Wolfsburg,3,1,1.75,1.23
2025-10-04,Werder Bremen,St Pauli,1,0,1.78,0.91
2025-10-04,Ein Frankfurt,Bayern Munich,0,3,0.56,2.23
2025-10-05,Stuttgart,Heidenheim,1,0,1.11,0.29
2025-10-05,Hamburg,Mainz,4,0,1.66,0.59
2025-10-05,M'gladbach,Freiburg,0,0,0.47,0.69
2025-09-26,Bayern Munich,Werder Bremen,4,0,4.32,0.3
2025-09-27,Heidenheim,Augsburg,2,1,1.79,0.62
2025-09-27,Mainz,Dortmund,0,2,0.53,1.76
2025-09-27,St Pauli,Leverkusen,1,2,0.81,1.29
2025-09-27,Wolfsburg,RB Leipzig,0,1,2.6,2.61
2025-09-27,M'gladbach,Ein Frankfurt,4,6,2.13,3.79
2025-09-28,Freiburg,Hoffenheim,1,1,1.26,2.24
2025-09-28,FC Koln,Stuttgart,1,2,1.08,2.21
2025-09-28,Union Berlin,Hamburg,0,0,1.54,1.11
2025-09-19,Stuttgart,St Pauli,2,0,2.79,1.06
2025-09-20,Werder Bremen,Freiburg,0,3,1.27,2.36
2025-09-20,Augsburg,Mainz,1,4,0.87,2.57
2025-09-20,Hamburg,Heidenheim,2,1,3.32,2.64
2025-09-20,Hoffenheim,Bayern Munich,1,4,1.04,2.71
2025-09-20,RB Leipzig,FC Koln,3,1,3.8,1.39
2025-09-21,Ein Frankfurt,Union Berlin,3,4,1.76,2.23
2025-09-21,Leverkusen,M'gladbach,1,1,1.95,1.3
2025-09-21,Dortmund,Wolfsburg,1,0,1.25,0.98
2025-09-12,Leverkusen,Ein Frankfurt,3,1,2.31,0.79
2025-09-13,Freiburg,Stuttgart,3,1,1.68,0.55
2025-09-13,Heidenheim,Dortmund,0,2,0.3,2.85
2025-09-13,Mainz,RB Leipzig,0,1,0.77,1.5
2025-09-13,Wolfsburg,FC Koln,3,3,1.8,1.73
2025-09-13,Union Berlin,Hoffenheim,2,4,3.08,3.34
2025-09-13,Bayern Munich,Hamburg,5,0,3.04,0.56
2025-09-14,St Pauli,Augsburg,2,1,1.95,0.93
2025-09-14,M'gladbach,Werder Bremen,0,4,1.59,2.25
2025-08-29,Hamburg,St Pauli,0,2,0.74,1.85
2025-08-30,Hoffenheim,Ein Frankfurt,1,3,1.28,1.82
2025-08-30,RB Leipzig,Heidenheim,2,0,3.3,0.97
2025-08-30,Werder Bremen,Leverkusen,3,3,2.33,2.04
2025-08-30,Stuttgart,M'gladbach,1,0,0.93,1.61
2025-08-30,Augsburg,Bayern Munich,2,3,0.51,3.38
2025-08-31,Wolfsburg,Mainz,1,1,0.62,1.81
2025-08-31,Dortmund,Union Berlin,3,0,1.83,0.97
2025-08-31,FC Koln,Freiburg,4,1,1.84,0.93
2025-08-22,Bayern Munich,RB Leipzig,6,0,3.3,0.52
2025-08-23,Heidenheim,Wolfsburg,1,3,0.78,2.58
2025-08-23,Leverkusen,Hoffenheim,1,2,1.05,0.51
2025-08-23,Union Berlin,Stuttgart,2,1,0.53,1.8
2025-08-23,Ein Frankfurt,Werder Bremen,4,1,3.11,0.59
2025-08-23,Freiburg,Augsburg,1,3,2.27,1.3
2025-08-23,St Pauli,Dortmund,3,3,1.47,2.1
2025-08-24,Mainz,FC Koln,0,1,1.32,1.65
2025-08-24,M'gladbach,Hamburg,0,0,1.02,0.29
