date,home_team,away_team,home_goals,away_goals,home_xg,away_xg
2024-11-23,Wolfsburg,Union Berlin,1,0,0.74,0.63
2024-11-23,Ein Frankfurt,Werder Bremen,1,0,1.47,0.63
2024-11-24,Holstein Kiel,Mainz,0,3,0.35,2.14
2024-11-24,M'gladbach,St Pauli,2,0,2.99,1.15
2024-11-30,RB Leipzig,Wolfsburg,1,5,1.45,2.7
2024-11-30,Werder Bremen,Stuttgart,2,2,2.15,1.67
2024-11-30,Freiburg,M'gladbach,3,1,2.15,1.28
2024-11-30,Augsburg,Bochum,1,0,2.16,0.25
2024-11-30,Union Berlin,Leverkusen,1,2,1.11,0.91
2024-11-29,St Pauli,Holstein Kiel,3,1,1.96,1.15
2024-11-30,Dortmund,Bayern Munich,1,1,0.56,1.83
2024-12-01,Heidenheim,Ein Frankfurt,0,4,0.86,3.19
2024-12-01,Mainz,Hoffenheim,2,0,2.63,0.81
2024-12-06,Stuttgart,Union Berlin,3,2,1.81,1.86
2024-12-07,Leverkusen,St Pauli,2,1,0.73,2.18
2024-12-07,Bochum,Werder Bremen,0,1,1.16,1.21
2024-12-07,Holstein Kiel,RB Leipzig,0,2,1.15,1.73
2024-12-07,Bayern Munich,Heidenheim,4,2,3.09,1.17
2024-12-07,Ein Frankfurt,Augsburg,2,2,1.53,1.17
2024-12-07,M'gladbach,Dortmund,1,1,1.1,1.59
2024-12-08,Wolfsburg,Mainz,4,3,1.49,3.02
2024-12-08,Hoffenheim,Freiburg,1,1,1.49,1.53
2024-12-13,Freiburg,Wolfsburg,3,2,2.97,1.85
2024-12-14,Augsburg,Leverkusen,0,2,0.44,1.02
2024-12-14,Mainz,Bayern Munich,2,1,1.64,0.99
2024-12-14,M'gladbach,Holstein Kiel,4,1,2.33,0.32
2024-12-14,Union Berlin,Bochum,1,1,3.01,1.24
2024-12-14,St Pauli,Werder Bremen,0,2,0.52,0.99
2024-12-15,Heidenheim,Stuttgart,1,3,0.81,3.46
2024-12-15,Dortmund,Hoffenheim,1,1,0.43,1.31
2024-12-15,RB Leipzig,Ein Frankfurt,2,1,2.5,0.84
2024-12-20,Bayern Munich,RB Leipzig,5,1,4.36,0.55
